"cmplst_id","cmplst_act","cmplst_particular","cmplst_description","cmplst_long_description","cmplst_title","cmplst_start_date","cmplst_end_date","cmplst_action_date","cmplst_year","cmplst_compliance_key","cmplst_country","cmplst_type"
"250001","FACTORIES ACT","REFER TO STATE RULES - I","RETURN:ANNUAL RETURN",,,"01-04-2025","31-03-2026","31-01-2026","2025","2500001","India","regulatory"
"250002","FACTORIES ACT","REFER TO STATE RULES - II","RETURN:APPLICATION FOR RENEWAL OF LICENSE",,,"01-04-2025","31-03-2026","31-12-2025","2025","2500002","India","regulatory"
"250003","FACTORIES ACT","REFER TO STATE RULES - III","RETURN:HALF YEARLY RETURN",,,"01-04-2025","31-03-2026","31-07-2025","2025","2500003","India","regulatory"
"250004","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-04-2025","2025","2500004","India","regulatory"
"250005","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-05-2025","2025","2500004","India","regulatory"
"250006","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-06-2025","2025","2500004","India","regulatory"
"250007","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-07-2025","2025","2500004","India","regulatory"
"250008","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-08-2025","2025","2500004","India","regulatory"
"250009","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-09-2025","2025","2500004","India","regulatory"
"250010","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-10-2025","2025","2500004","India","regulatory"
"250011","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-11-2025","2025","2500004","India","regulatory"
"250012","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-12-2025","2025","2500004","India","regulatory"
"250013","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-01-2026","2025","2500004","India","regulatory"
"250014","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-02-2026","2025","2500004","India","regulatory"
"250015","EMPLOYEE PROVIDENT FUND ACT","THROUGH EPFO PORTAL","RETURN:DEPOSIT OF PROVIDENT FUND CONTRIBUTIONS; APPLICABLE TO: ENTITIES REGISTERED WITH PF AUTHORITIES",,,"01-04-2025","31-03-2026","15-03-2026","2025","2500005","India","regulatory"
"250016","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-04-2025","2025","2500005","India","regulatory"
"250017","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-05-2025","2025","2500005","India","regulatory"
"250018","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-06-2025","2025","2500005","India","regulatory"
"250019","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-07-2025","2025","2500005","India","regulatory"
"250020","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-08-2025","2025","2500005","India","regulatory"
"250021","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-09-2025","2025","2500005","India","regulatory"
"250022","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-10-2025","2025","2500005","India","regulatory"
"250023","EMPLOYEE PROVIDENT FUND ACT","REFER TO RULES","RETURN: PFRETURN",,,"01-04-2025","31-03-2026","25-11-2025","2025","2500005","India","regulatory"
